Namespace(arch_decoder='c1_bilinear', arch_encoder='resnet34_dilated8', batch_size=1, ckpt='./ckpt', fc_dim=512, id='baseline-resnet34_dilated8-c1_bilinear-ngpus1-batchSize8-imgSize384-segSize384-lr_encoder0.001-lr_decoder0.01-epoch5-decay0.0001', imgSize=-1, list_val='./data/Jingbo_val.txt', num_class=150, num_val=-1, result='./result', root_img='./data/ADEChallengeData2016/images', root_seg='./data/ADEChallengeData2016/annotations', segSize=-1, suffix='_best.pth', visualize=0)
Loading weights for net_encoder
Loading weights for net_decoder
# samples: 200
[2017-12-28 02:25:11] iter 0, loss: 0.875694990158, accuracy: 0.685419666875
[2017-12-28 02:25:12] iter 1, loss: 1.02031445503, accuracy: 0.64747685487
[2017-12-28 02:25:12] iter 2, loss: 1.07822906971, accuracy: 0.631142570753
[2017-12-28 02:25:15] iter 3, loss: 0.324446290731, accuracy: 0.92225220419
[2017-12-28 02:25:17] iter 4, loss: 1.05157828331, accuracy: 0.628663601197
[2017-12-28 02:25:17] iter 5, loss: 0.671210467815, accuracy: 0.792993032912
[2017-12-28 02:25:18] iter 6, loss: 0.278372913599, accuracy: 0.920877616222
[2017-12-28 02:25:20] iter 7, loss: 0.585966706276, accuracy: 0.79551434951
[2017-12-28 02:25:20] iter 8, loss: 0.372645139694, accuracy: 0.896523151909
[2017-12-28 02:25:22] iter 9, loss: 0.320529967546, accuracy: 0.883210981001
[2017-12-28 02:25:24] iter 10, loss: 0.693348824978, accuracy: 0.731924004457
[2017-12-28 02:25:27] iter 11, loss: 0.424913406372, accuracy: 0.912664238076
[2017-12-28 02:25:29] iter 12, loss: 0.746285617352, accuracy: 0.775456829111
[2017-12-28 02:25:31] iter 13, loss: 0.495283126831, accuracy: 0.926713608277
[2017-12-28 02:25:32] iter 14, loss: 1.75622665882, accuracy: 0.608604346988
[2017-12-28 02:25:32] iter 15, loss: 1.11604392529, accuracy: 0.702537894962
[2017-12-28 02:25:33] iter 16, loss: 0.523807942867, accuracy: 0.851166645815
[2017-12-28 02:25:35] iter 17, loss: 0.783258676529, accuracy: 0.790048941059
[2017-12-28 02:25:35] iter 18, loss: 0.400195807219, accuracy: 0.892422052447
[2017-12-28 02:25:37] iter 19, loss: 0.900089681149, accuracy: 0.747678379215
[2017-12-28 02:25:38] iter 20, loss: 1.23609876633, accuracy: 0.558831242323
[2017-12-28 02:25:38] iter 21, loss: 1.19664132595, accuracy: 0.585397273299
[2017-12-28 02:25:40] iter 22, loss: 1.59758210182, accuracy: 0.534488926881
[2017-12-28 02:25:40] iter 23, loss: 0.819219470024, accuracy: 0.630559286188
[2017-12-28 02:25:42] iter 24, loss: 0.702407538891, accuracy: 0.695017939105
