Namespace(arch_decoder='c1_bilinear', arch_encoder='resnet34_dilated8', batch_size=1, ckpt='./ckpt', fc_dim=512, id='Grayscale1-resnet34_dilated8-c1_bilinear-ngpus1-batchSize8-imgSize384-segSize384-lr_encoder0.001-lr_decoder0.01-epoch5-decay0.0001', imgSize=-1, list_val='./data/ADE20K_object150_val.txt', num_class=150, num_val=-1, result='./result', root_img='./data/ADEChallengeData2016/images', root_seg='./data/ADEChallengeData2016/annotations', segSize=-1, suffix='_best.pth', visualize=0)
Loading weights for net_encoder
Loading weights for net_decoder
# samples: 2000
[2017-12-28 01:25:23] iter 0, loss: 0.384597510099, accuracy: 0.923847747506
[2017-12-28 01:25:24] iter 1, loss: 0.509837567806, accuracy: 0.841804273919
[2017-12-28 01:25:25] iter 2, loss: 2.0701622963, accuracy: 0.554476175945
[2017-12-28 01:25:27] iter 3, loss: 0.397418916225, accuracy: 0.903206851212
[2017-12-28 01:25:28] iter 4, loss: 0.796693444252, accuracy: 0.713678970503
[2017-12-28 01:25:30] iter 5, loss: 0.450587540865, accuracy: 0.862326063784
[2017-12-28 01:25:31] iter 6, loss: 0.431811124086, accuracy: 0.948812913188
[2017-12-28 01:25:32] iter 7, loss: 0.489387214184, accuracy: 0.894423268633
[2017-12-28 01:25:34] iter 8, loss: 0.861267387867, accuracy: 0.801636293824
[2017-12-28 01:25:35] iter 9, loss: 1.19319653511, accuracy: 0.781726772543
[2017-12-28 01:25:36] iter 10, loss: 0.976726353168, accuracy: 0.752153476965
[2017-12-28 01:25:37] iter 11, loss: 0.490829348564, accuracy: 0.862863910541
[2017-12-28 01:25:38] iter 12, loss: 1.23205065727, accuracy: 0.705269540293
[2017-12-28 01:25:40] iter 13, loss: 0.363712251186, accuracy: 0.952668507853
[2017-12-28 01:25:42] iter 14, loss: 0.812968254089, accuracy: 0.759935070413
[2017-12-28 01:25:44] iter 15, loss: 1.02880418301, accuracy: 0.75560466077
[2017-12-28 01:25:44] iter 16, loss: 0.903285503387, accuracy: 0.642510365822
