Namespace(arch_decoder='c1_bilinear', arch_encoder='resnet34_dilated8', batch_size=1, ckpt='./ckpt', fc_dim=512, id='Grayscale1-resnet34_dilated8-c1_bilinear-ngpus1-batchSize8-imgSize384-segSize384-lr_encoder0.001-lr_decoder0.01-epoch5-decay0.0001', imgSize=-1, list_val='./data/Jingbo_gray_val.txt', num_class=150, num_val=-1, result='./result', root_img='./data/ADEChallengeData2016/images', root_seg='./data/ADEChallengeData2016/annotations', segSize=-1, suffix='_best.pth', visualize=0)
Loading weights for net_encoder
Loading weights for net_decoder
# samples: 200
[2017-12-28 02:17:45] iter 0, loss: 0.804637074471, accuracy: 0.772464201288
[2017-12-28 02:17:45] iter 1, loss: 1.00443959236, accuracy: 0.680939496675
[2017-12-28 02:17:46] iter 2, loss: 1.00664043427, accuracy: 0.632175871499
[2017-12-28 02:17:48] iter 3, loss: 0.608639121056, accuracy: 0.824623528714
[2017-12-28 02:17:50] iter 4, loss: 0.861931145191, accuracy: 0.672067732282
[2017-12-28 02:17:51] iter 5, loss: 0.741708636284, accuracy: 0.802317671069
[2017-12-28 02:17:51] iter 6, loss: 0.28909021616, accuracy: 0.936509747669
[2017-12-28 02:17:53] iter 7, loss: 0.590472042561, accuracy: 0.802573359198
[2017-12-28 02:17:54] iter 8, loss: 0.384199887514, accuracy: 0.90448415922
[2017-12-28 02:17:56] iter 9, loss: 0.36974927783, accuracy: 0.879076882072
[2017-12-28 02:17:58] iter 10, loss: 0.717339158058, accuracy: 0.806345761686
[2017-12-28 02:18:01] iter 11, loss: 0.467392146587, accuracy: 0.870915567495
[2017-12-28 02:18:03] iter 12, loss: 0.732154846191, accuracy: 0.8027072418
[2017-12-28 02:18:05] iter 13, loss: 0.609568893909, accuracy: 0.925799524197
[2017-12-28 02:18:06] iter 14, loss: 1.69122028351, accuracy: 0.622079904952
[2017-12-28 02:18:06] iter 15, loss: 1.1621389389, accuracy: 0.702497865073
